Variable,Year,Province,Value,Admin_Lvl,Region,Unit
Annual Per Capita Poverty Threshold (in Pesos),2021,Quezon,27151,Province,Region IV-A,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Rizal,32217,Province,Region IV-A,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Region IV-B,26321,Region,Region IV-B,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Marinduque ,26959,Province,Region IV-B,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Occidental Mindoro,26661,Province,Region IV-B,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Oriental Mindoro,26265,Province,Region IV-B,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Palawan,24127,Province,Region IV-B,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Romblon,28749,Province,Region IV-B,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Region V,27675,Region,Region V,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Albay,27346,Province,Region V,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Camarines Norte,27571,Province,Region V,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Camarines Sur,28651,Province,Region V,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Catanduanes,28014,Province,Region V,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Masbate,25545,Province,Region V,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Sorsogon,27133,Province,Region V,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Region VI,27083,Region,Region VI,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Aklan,26837,Province,Region VI,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Antique,26633,Province,Region VI,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Capiz,26692,Province,Region VI,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Guimaras,27090,Province,Region VI,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Iloilo,27821,Province,Region VI,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Negros Occidental,26782,Province,Region VI,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Region VII,31220,Region,Region VII,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Bohol,26853,Province,Region VII,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Cebu,33657,Province,Region VII,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Negros Oriental,26024,Province,Region VII,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Siquijor,25603,Province,Region VII,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Region VIII,26848,Region,Region VIII,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Biliran,28293,Province,Region VIII,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Eastern Samar,28924,Province,Region VIII,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Leyte,26570,Province,Region VIII,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Northern Samar,26572,Province,Region VIII,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Southern Leyte,28799,Province,Region VIII,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Samar,25259,Province,Region VIII,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Region IX,28739,Region,Region IX,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Zamboanga del Norte,33799,Province,Region IX,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Zamboanga del Sur,24066,Province,Region IX,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Zamboanga Sibugay,24708,Province,Region IX,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Isabela City,23925,Province,Region IX,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Region X,28836,Region,Region X,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Bukidnon,29040,Province,Region X,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Camiguin,28514,Province,Region X,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Lanao del Norte,28589,Province,Region X,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Misamis Occidental,30062,Province,Region X,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Misamis Oriental,28270,Province,Region X,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Region XI,28102,Region,Region XI,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Davao del Norte,27354,Province,Region XI,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Davao del Sur,29749,Province,Region XI,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Davao Oriental,27806,Province,Region XI,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Davao de Oro,26161,Province,Region XI,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Davao Occidental,28511,Province,Region XI,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Region XII,26443,Region,Region XII,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Cotabato,27473,Province,Region XII,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Sarangani,24070,Province,Region XII,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,South Cotabato,24455,Province,Region XII,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Sultan Kudarat,25295,Province,Region XII,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Cotabato City,33890,Province,Region XII,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Region XIII,27335,Region,Region XIII,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Agusan del Norte,27722,Province,Region XIII,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Agusan del Sur,27821,Province,Region XIII,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Surigao Del Norte,26444,Province,Region XIII,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Surigao Del Sur,26441,Province,Region XIII,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Dinagat Islands,28907,Province,Region XIII,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,ARMM,28293,Region,ARMM,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Basilan,26728,Province,ARMM,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Lanao del Sur,29083,Province,ARMM,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Maguindanao,25371,Province,ARMM,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Sulu,31782,Province,ARMM,in Pesos
Annual Per Capita Poverty Threshold (in Pesos),2021,Tawi-tawi,26336,Province,ARMM,in Pesos
Poverty Incidence among Families (%),2021,PHILIPPINES,  13.2 ,Country,Philippines,%
Poverty Incidence among Families (%),2021,NCR,  2.2 ,Region,NCR,%
Poverty Incidence among Families (%),2021,1st District,1.1,District,NCR,%
Poverty Incidence among Families (%),2021,2nd District,1.6,District,NCR,%
Poverty Incidence among Families (%),2021,3rd District,3.3,District,NCR,%
Poverty Incidence among Families (%),2021,4th District,2.5,District,NCR,%
Poverty Incidence among Families (%),2021,CAR,  6.9 ,Region,CAR,%
Poverty Incidence among Families (%),2021,Abra,  15.8 ,Province,CAR,%
Poverty Incidence among Families (%),2021,Apayao,  4.7 ,Province,CAR,%
Poverty Incidence among Families (%),2021,Benguet,  3.9 ,Province,CAR,%
Poverty Incidence among Families (%),2021,Ifugao,  6.0 ,Province,CAR,%
Poverty Incidence among Families (%),2021,Kalinga,  5.6 ,Province,CAR,%
Poverty Incidence among Families (%),2021,Mt. Province,  15.3 ,Province,CAR,%
Poverty Incidence among Families (%),2021,Region I,  11.0 ,Region,Region I,%
Poverty Incidence among Families (%),2021,Ilocos Norte,  1.7 ,Province,Region I,%
Poverty Incidence among Families (%),2021,Ilocos Sur,  11.5 ,Province,Region I,%
Poverty Incidence among Families (%),2021,La Union,  6.6 ,Province,Region I,%
Poverty Incidence among Families (%),2021,Pangasinan,  13.9 ,Province,Region I,%
Poverty Incidence among Families (%),2021,Region II,  11.7 ,Region,Region II,%
Poverty Incidence among Families (%),2021,Batanes,  2.6 ,Province,Region II,%
Poverty Incidence among Families (%),2021,Cagayan,  7.3 ,Province,Region II,%
Poverty Incidence among Families (%),2021,Isabela,  15.9 ,Province,Region II,%
Poverty Incidence among Families (%),2021,Nueva Vizcaya,  10.8 ,Province,Region II,%
Poverty Incidence among Families (%),2021,Quirino,  6.2 ,Province,Region II,%
Poverty Incidence among Families (%),2021,Region III,  8.3 ,Region,Region III,%
Poverty Incidence among Families (%),2021,Aurora,  16.5 ,Province,Region III,%
Poverty Incidence among Families (%),2021,Bataan,  9.0 ,Province,Region III,%
Poverty Incidence among Families (%),2021,Bulacan,  8.3 ,Province,Region III,%
Poverty Incidence among Families (%),2021,Nueva Ecija,  10.0 ,Province,Region III,%
Poverty Incidence among Families (%),2021,Pampanga,  2.9 ,Province,Region III,%
Poverty Incidence among Families (%),2021,Tarlac,  8.1 ,Province,Region III,%
Poverty Incidence among Families (%),2021,Zambales,  17.7 ,Province,Region III,%
Poverty Incidence among Families (%),2021,Region IV-A,  7.2 ,Region,Region IV-A,%
Poverty Incidence among Families (%),2021,Batangas,  4.3 ,Province,Region IV-A,%
Poverty Incidence among Families (%),2021,Cavite,  7.1 ,Province,Region IV-A,%
Poverty Incidence among Families (%),2021,Laguna,  6.9 ,Province,Region IV-A,%
Poverty Incidence among Families (%),2021,Quezon,  16.3 ,Province,Region IV-A,%
Poverty Incidence among Families (%),2021,Rizal,  4.3 ,Province,Region IV-A,%
Poverty Incidence among Families (%),2021,Region IV-B,  15.0 ,Region,Region IV-B,%
Poverty Incidence among Families (%),2021,Marinduque ,  15.6 ,Province,Region IV-B,%
Poverty Incidence among Families (%),2021,Occidental Mindoro,  23.0 ,Province,Region IV-B,%
Poverty Incidence among Families (%),2021,Oriental Mindoro,  12.8 ,Province,Region IV-B,%
Poverty Incidence among Families (%),2021,Palawan,  9.4 ,Province,Region IV-B,%
Poverty Incidence among Families (%),2021,Romblon,  31.0 ,Province,Region IV-B,%
Poverty Incidence among Families (%),2021,Region V,  21.9 ,Region,Region V,%
Poverty Incidence among Families (%),2021,Albay,  15.4 ,Province,Region V,%
Poverty Incidence among Families (%),2021,Camarines Norte,  16.6 ,Province,Region V,%
Poverty Incidence among Families (%),2021,Camarines Sur,  29.8 ,Province,Region V,%
Poverty Incidence among Families (%),2021,Catanduanes,  16.8 ,Province,Region V,%
Poverty Incidence among Families (%),2021,Masbate,  20.2 ,Province,Region V,%
Poverty Incidence among Families (%),2021,Sorsogon,  21.7 ,Province,Region V,%
Poverty Incidence among Families (%),2021,Region VI,  13.8 ,Region,Region VI,%
Poverty Incidence among Families (%),2021,Aklan,  13.9 ,Province,Region VI,%
Poverty Incidence among Families (%),2021,Antique,  18.2 ,Province,Region VI,%
Poverty Incidence among Families (%),2021,Capiz,  6.1 ,Province,Region VI,%
Poverty Incidence among Families (%),2021,Guimaras,  7.3 ,Province,Region VI,%
Poverty Incidence among Families (%),2021,Iloilo,  12.6 ,Province,Region VI,%
Poverty Incidence among Families (%),2021,Negros Occidental,  16.4 ,Province,Region VI,%
Poverty Incidence among Families (%),2021,Region VII,  22.1 ,Region,Region VII,%
Poverty Incidence among Families (%),2021,Bohol,  19.1 ,Province,Region VII,%
Poverty Incidence among Families (%),2021,Cebu,  22.8 ,Province,Region VII,%
Poverty Incidence among Families (%),2021,Negros Oriental,  23.6 ,Province,Region VII,%
Poverty Incidence among Families (%),2021,Siquijor,  2.2 ,Province,Region VII,%
Poverty Incidence among Families (%),2021,Region VIII,  22.2 ,Region,Region VIII,%
Poverty Incidence among Families (%),2021,Biliran,  19.9 ,Province,Region VIII,%
Poverty Incidence among Families (%),2021,Eastern Samar,29.4,Province,Region VIII,%
Poverty Incidence among Families (%),2021,Leyte,20.8,Province,Region VIII,%
Poverty Incidence among Families (%),2021,Northern Samar,19.3,Province,Region VIII,%
Poverty Incidence among Families (%),2021,Southern Leyte,  16.0 ,Province,Region VIII,%
Poverty Incidence among Families (%),2021,Samar,  27.0 ,Province,Region VIII,%
Poverty Incidence among Families (%),2021,Region IX,  23.4 ,Region,Region IX,%
Poverty Incidence among Families (%),2021,Zamboanga del Norte,  40.8 ,Province,Region IX,%
Poverty Incidence among Families (%),2021,Zamboanga del Sur,  13.4 ,Province,Region IX,%
Poverty Incidence among Families (%),2021,Zamboanga Sibugay,  26.0 ,Province,Region IX,%
Poverty Incidence among Families (%),2021,Isabela City,  12.7 ,Province,Region IX,%
Poverty Incidence among Families (%),2021,Region X,  19.2 ,Region,Region X,%
Poverty Incidence among Families (%),2021,Bukidnon,  22.8 ,Province,Region X,%
Poverty Incidence among Families (%),2021,Camiguin,  14.7 ,Province,Region X,%
Poverty Incidence among Families (%),2021,Lanao del Norte,  25.5 ,Province,Region X,%
Poverty Incidence among Families (%),2021,Misamis Occidental,  18.3 ,Province,Region X,%
Poverty Incidence among Families (%),2021,Misamis Oriental,  13.0 ,Province,Region X,%
Poverty Incidence among Families (%),2021,Region XI,  11.9 ,Region,Region XI,%
Poverty Incidence among Families (%),2021,Davao del Norte,7.3,Province,Region XI,%
Poverty Incidence among Families (%),2021,Davao del Sur,7.2,Province,Region XI,%
Poverty Incidence among Families (%),2021,Davao Oriental,21.8,Province,Region XI,%
Poverty Incidence among Families (%),2021,Davao de Oro,17.7,Province,Region XI,%
Poverty Incidence among Families (%),2021,Davao Occidental,34.5,Province,Region XI,%
Poverty Incidence among Families (%),2021,Region XII,  21.4 ,Region,Region XII,%
Poverty Incidence among Families (%),2021,Cotabato,  23.6 ,Province,Region XII,%
Poverty Incidence among Families (%),2021,Sarangani,  33.5 ,Province,Region XII,%
Poverty Incidence among Families (%),2021,South Cotabato,  12.8 ,Province,Region XII,%
Poverty Incidence among Families (%),2021,Sultan Kudarat,  23.8 ,Province,Region XII,%
Poverty Incidence among Families (%),2021,Cotabato City,  31.3 ,Province,Region XII,%
Poverty Incidence among Families (%),2021,Region XIII,  25.9 ,Region,Region XIII,%
Poverty Incidence among Families (%),2021,Agusan del Norte,  23.5 ,Province,Region XIII,%
Poverty Incidence among Families (%),2021,Agusan del Sur,  33.4 ,Province,Region XIII,%
Poverty Incidence among Families (%),2021,Surigao Del Norte,  21.2 ,Province,Region XIII,%
Poverty Incidence among Families (%),2021,Surigao Del Sur,  24.0 ,Province,Region XIII,%
Poverty Incidence among Families (%),2021,Dinagat Islands,  26.1 ,Province,Region XIII,%
Poverty Incidence among Families (%),2021,ARMM,  29.8 ,Region,ARMM,%
Poverty Incidence among Families (%),2021,Basilan,  42.5 ,Province,ARMM,%
Poverty Incidence among Families (%),2021,Lanao del Sur,  7.4 ,Province,ARMM,%
Poverty Incidence among Families (%),2021,Maguindanao,  29.8 ,Province,ARMM,%
Poverty Incidence among Families (%),2021,Sulu,  51.0 ,Province,ARMM,%
Poverty Incidence among Families (%),2021,Tawi-tawi,  28.1 ,Province,ARMM,%
Poverty Incidence among Population (%),2021,PHILIPPINES,  18.1 ,Country,Philippines,%
Poverty Incidence among Population (%),2021,NCR,  3.5 ,Region,NCR,%
Poverty Incidence among Population (%),2021,1st District,1.7,District,NCR,%
Poverty Incidence among Population (%),2021,2nd District,2.8,District,NCR,%
Poverty Incidence among Population (%),2021,3rd District,4.9,District,NCR,%
Poverty Incidence among Population (%),2021,4th District,4.1,District,NCR,%
Poverty Incidence among Population (%),2021,CAR,  9.9 ,Region,CAR,%
Poverty Incidence among Population (%),2021,Abra,  21.5 ,Province,CAR,%
Poverty Incidence among Population (%),2021,Apayao,  6.8 ,Province,CAR,%
Poverty Incidence among Population (%),2021,Benguet,  5.6 ,Province,CAR,%
Poverty Incidence among Population (%),2021,Ifugao,  8.1 ,Province,CAR,%
Poverty Incidence among Population (%),2021,Kalinga,  8.3 ,Province,CAR,%
Poverty Incidence among Population (%),2021,Mt. Province,  22.2 ,Province,CAR,%
Poverty Incidence among Population (%),2021,Region I,  14.4 ,Region,Region I,%
Poverty Incidence among Population (%),2021,Ilocos Norte,  2.5 ,Province,Region I,%
Poverty Incidence among Population (%),2021,Ilocos Sur,  15.1 ,Province,Region I,%
Poverty Incidence among Population (%),2021,La Union,  9.3 ,Province,Region I,%
Poverty Incidence among Population (%),2021,Pangasinan,  17.9 ,Province,Region I,%
Poverty Incidence among Population (%),2021,Region II,  15.4 ,Region,Region II,%
Poverty Incidence among Population (%),2021,Batanes,  3.4 ,Province,Region II,%
Poverty Incidence among Population (%),2021,Cagayan,  10.1 ,Province,Region II,%
Poverty Incidence among Population (%),2021,Isabela,  20.3 ,Province,Region II,%
Poverty Incidence among Population (%),2021,Nueva Vizcaya,  15.3 ,Province,Region II,%
Poverty Incidence among Population (%),2021,Quirino,  9.1 ,Province,Region II,%
Poverty Incidence among Population (%),2021,Region III,  11.4 ,Region,Region III,%
Poverty Incidence among Population (%),2021,Aurora,  21.6 ,Province,Region III,%
Poverty Incidence among Population (%),2021,Bataan,  11.6 ,Province,Region III,%
Poverty Incidence among Population (%),2021,Bulacan,  11.0 ,Province,Region III,%
Poverty Incidence among Population (%),2021,Nueva Ecija,  13.9 ,Province,Region III,%
Poverty Incidence among Population (%),2021,Pampanga,  4.9 ,Province,Region III,%
Poverty Incidence among Population (%),2021,Tarlac,  11.9 ,Province,Region III,%
Poverty Incidence among Population (%),2021,Zambales,  24.4 ,Province,Region III,%
Poverty Incidence among Population (%),2021,Region IV-A,  10.2 ,Region,Region IV-A,%
Poverty Incidence among Population (%),2021,Batangas,  6.3 ,Province,Region IV-A,%
Poverty Incidence among Population (%),2021,Cavite,  10.1 ,Province,Region IV-A,%
Poverty Incidence among Population (%),2021,Laguna,  9.5 ,Province,Region IV-A,%
Poverty Incidence among Population (%),2021,Quezon,  21.6 ,Province,Region IV-A,%
Poverty Incidence among Population (%),2021,Rizal,  6.9 ,Province,Region IV-A,%
Poverty Incidence among Population (%),2021,Region IV-B,  20.8 ,Region,Region IV-B,%
Poverty Incidence among Population (%),2021,Marinduque ,  22.1 ,Province,Region IV-B,%
Poverty Incidence among Population (%),2021,Occidental Mindoro,  30.3 ,Province,Region IV-B,%
Poverty Incidence among Population (%),2021,Oriental Mindoro,  18.1 ,Province,Region IV-B,%
Poverty Incidence among Population (%),2021,Palawan,  13.8 ,Province,Region IV-B,%
Poverty Incidence among Population (%),2021,Romblon,  40.1 ,Province,Region IV-B,%
Poverty Incidence among Population (%),2021,Region V,  29.3 ,Region,Region V,%
Poverty Incidence among Population (%),2021,Albay,  20.4 ,Province,Region V,%
Poverty Incidence among Population (%),2021,Camarines Norte,  22.2 ,Province,Region V,%
Poverty Incidence among Population (%),2021,Camarines Sur,  38.7 ,Province,Region V,%
Poverty Incidence among Population (%),2021,Catanduanes,  23.5 ,Province,Region V,%
Poverty Incidence among Population (%),2021,Masbate,  27.7 ,Province,Region V,%
Poverty Incidence among Population (%),2021,Sorsogon,  30.0 ,Province,Region V,%
Poverty Incidence among Population (%),2021,Region VI,  19.0 ,Region,Region VI,%
Poverty Incidence among Population (%),2021,Aklan,  20.2 ,Province,Region VI,%
Poverty Incidence among Population (%),2021,Antique,  23.7 ,Province,Region VI,%
Poverty Incidence among Population (%),2021,Capiz,  9.5 ,Province,Region VI,%
Poverty Incidence among Population (%),2021,Guimaras,  10.0 ,Province,Region VI,%
Poverty Incidence among Population (%),2021,Iloilo,  17.8 ,Province,Region VI,%
Poverty Incidence among Population (%),2021,Negros Occidental,  21.8 ,Province,Region VI,%
Poverty Incidence among Population (%),2021,Region VII,  27.6 ,Region,Region VII,%
Poverty Incidence among Population (%),2021,Bohol,  23.8 ,Province,Region VII,%
Poverty Incidence among Population (%),2021,Cebu,  28.6 ,Province,Region VII,%
Poverty Incidence among Population (%),2021,Negros Oriental,  29.3 ,Province,Region VII,%
Poverty Incidence among Population (%),2021,Siquijor,  3.4 ,Province,Region VII,%
Poverty Incidence among Population (%),2021,Region VIII,  28.9 ,Region,Region VIII,%
Poverty Incidence among Population (%),2021,Biliran,  27.2 ,Province,Region VIII,%
Poverty Incidence among Population (%),2021,Eastern Samar,37.7,Province,Region VIII,%
Poverty Incidence among Population (%),2021,Leyte,27.6,Province,Region VIII,%
Poverty Incidence among Population (%),2021,Northern Samar,25.9,Province,Region VIII,%
Poverty Incidence among Population (%),2021,Southern Leyte,  21.5 ,Province,Region VIII,%
Poverty Incidence among Population (%),2021,Samar,  33.9 ,Province,Region VIII,%
Poverty Incidence among Population (%),2021,Region IX,  30.1 ,Region,Region IX,%
Poverty Incidence among Population (%),2021,Zamboanga del Norte,  50.8 ,Province,Region IX,%
Poverty Incidence among Population (%),2021,Zamboanga del Sur,  18.3 ,Province,Region IX,%
Poverty Incidence among Population (%),2021,Zamboanga Sibugay,  34.0 ,Province,Region IX,%
Poverty Incidence among Population (%),2021,Isabela City,  17.3 ,Province,Region IX,%
Poverty Incidence among Population (%),2021,Region X,  26.1 ,Region,Region X,%
Poverty Incidence among Population (%),2021,Bukidnon,  29.2 ,Province,Region X,%
Poverty Incidence among Population (%),2021,Camiguin,  20.6 ,Province,Region X,%
Poverty Incidence among Population (%),2021,Lanao del Norte,  34.3 ,Province,Region X,%
Poverty Incidence among Population (%),2021,Misamis Occidental,  24.7 ,Province,Region X,%
Poverty Incidence among Population (%),2021,Misamis Oriental,  18.7 ,Province,Region X,%
Poverty Incidence among Population (%),2021,Region XI,  16.8 ,Region,Region XI,%
Poverty Incidence among Population (%),2021,Davao del Norte,10.6,Province,Region XI,%
Poverty Incidence among Population (%),2021,Davao del Sur,10.4,Province,Region XI,%
Poverty Incidence among Population (%),2021,Davao Oriental,30.4,Province,Region XI,%
Poverty Incidence among Population (%),2021,Davao de Oro,23.9,Province,Region XI,%
Poverty Incidence among Population (%),2021,Davao Occidental,43.4,Province,Region XI,%
Poverty Incidence among Population (%),2021,Region XII,  28.1 ,Region,Region XII,%
Poverty Incidence among Population (%),2021,Cotabato,  31.8 ,Province,Region XII,%
Poverty Incidence among Population (%),2021,Sarangani,  41.1 ,Province,Region XII,%
Poverty Incidence among Population (%),2021,South Cotabato,  16.7 ,Province,Region XII,%
Poverty Incidence among Population (%),2021,Sultan Kudarat,  30.2 ,Province,Region XII,%
Poverty Incidence among Population (%),2021,Cotabato City,  39.7 ,Province,Region XII,%
Poverty Incidence among Population (%),2021,Region XIII,  33.2 ,Region,Region XIII,%
Poverty Incidence among Population (%),2021,Agusan del Norte,  30.8 ,Province,Region XIII,%
Poverty Incidence among Population (%),2021,Agusan del Sur,  41.3 ,Province,Region XIII,%
Poverty Incidence among Population (%),2021,Surigao Del Norte,  27.6 ,Province,Region XIII,%
Poverty Incidence among Population (%),2021,Surigao Del Sur,  31.2 ,Province,Region XIII,%
Poverty Incidence among Population (%),2021,Dinagat Islands,  33.3 ,Province,Region XIII,%
Poverty Incidence among Population (%),2021,ARMM,  37.2 ,Region,ARMM,%
Poverty Incidence among Population (%),2021,Basilan,  53.5 ,Province,ARMM,%
Poverty Incidence among Population (%),2021,Lanao del Sur,  10.9 ,Province,ARMM,%
Poverty Incidence among Population (%),2021,Maguindanao,  38.0 ,Province,ARMM,%
Poverty Incidence among Population (%),2021,Sulu,  62.5 ,Province,ARMM,%
Poverty Incidence among Population (%),2021,Tawi-tawi,  36.5 ,Province,ARMM,%
Subsistence Incidence among Population (%),2021,PHILIPPINES,  5.9 ,Country,Philippines,%
Subsistence Incidence among Population (%),2021,NCR,  0.5 ,Region,NCR,%
Subsistence Incidence among Population (%),2021,1st District,0.0,District,NCR,%
Subsistence Incidence among Population (%),2021,2nd District,0.5,District,NCR,%
Subsistence Incidence among Population (%),2021,3rd District,0.4,District,NCR,%
Subsistence Incidence among Population (%),2021,4th District,0.6,District,NCR,%
Subsistence Incidence among Population (%),2021,CAR,  2.2 ,Region,CAR,%
Subsistence Incidence among Population (%),2021,Abra,  5.3 ,Province,CAR,%
Subsistence Incidence among Population (%),2021,Apayao,  1.2 ,Province,CAR,%
